序号,传输方向,时间戳,ID,帧格式,帧类型,长度,数据,
197,接收,19:10:07.813.0,0x00000604,标准帧,数据帧,0x08,00 00 00 00 00 00 00 00 ,
198,接收,19:10:07.813.0,0x00000605,标准帧,数据帧,0x08,00 00 00 00 01 00 00 00 ,
199,接收,19:10:07.813.0,0x00000606,标准帧,数据帧,0x08,00 00 00 00 00 00 00 00 ,
200,接收,19:10:07.813.0,0x00000301,标准帧,数据帧,0x08,6D 3C 41 3C 00 00 00 00 ,
201,接收,19:10:07.813.0,0x00000302,标准帧,数据帧,0x08,39 00 C4 09 A9 50 9D 39 ,
202,接收,19:10:07.813.0,0x00000402,标准帧,数据帧,0x08,01 00 00 00 F8 25 00 00 ,
203,接收,19:10:07.814.0,0x00000403,标准帧,数据帧,0x08,64 00 00 00 E3 C3 07 00 ,
204,接收,19:10:07.818.0,0x00000303,标准帧,数据帧,0x04,B1 00 36 1E ,
205,接收,19:10:07.818.0,0x00000304,标准帧,数据帧,0x06,04 8C 03 10 00 00 ,
206,接收,19:10:07.819.0,0x00000405,标准帧,数据帧,0x08,10 0C 10 0C 13 0C 16 0C ,
207,接收,19:10:07.819.0,0x00000406,标准帧,数据帧,0x08,07 0C 1B 0C 17 0C 14 0C ,
208,接收,19:10:07.831.0,0x00000309,标准帧,数据帧,0x08,62 A8 00 3D 80 3C D6 FF ,
209,接收,19:10:07.831.0,0x0000030a,标准帧,数据帧,0x04,63 3C 5A 3B ,
210,接收,19:10:07.831.0,0x00000407,标准帧,数据帧,0x04,17 0C 1D 0C ,
211,接收,19:10:07.831.0,0x00000408,标准帧,数据帧,0x04,6C 09 00 00 ,
212,接收,19:10:07.841.0,0x00000400,标准帧,数据帧,0x08,07 00 0C 00 00 00 00 00 ,
213,接收,19:10:07.841.0,0x00000401,标准帧,数据帧,0x08,DB 78 00 00 00 00 00 00 ,
214,接收,19:10:07.841.0,0x00000409,标准帧,数据帧,0x08,E5 E4 E5 D7 E5 E5 E5 E5 ,
215,接收,19:10:07.841.0,0x00000506,标准帧,数据帧,0x07,07 0C 1D 0C A5 E4 E5 ,
216,接收,19:10:07.849.0,0x00000509,标准帧,数据帧,0x03,3F 82 01 ,
217,接收,19:10:07.849.0,0x0000050a,标准帧,数据帧,0x03,E6 E6 E5 ,
218,接收,19:10:07.860.0,0x0000050d,标准帧,数据帧,0x08,00 00 00 00 00 00 00 00 ,
219,接收,19:10:07.860.0,0x0000050d,标准帧,数据帧,0x08,01 BB 03 00 00 00 00 00 ,
220,接收,19:10:07.917.0,0x00000301,标准帧,数据帧,0x08,6D 3C 3C 3C 00 00 00 00 ,
221,接收,19:10:07.917.0,0x00000302,标准帧,数据帧,0x08,39 00 C4 09 A9 50 9D 39 ,
222,接收,19:10:07.920.0,0x00000303,标准帧,数据帧,0x04,B1 00 36 1E ,
223,接收,19:10:07.920.0,0x00000304,标准帧,数据帧,0x06,04 8C 03 10 00 00 ,
224,接收,19:10:07.938.0,0x00000309,标准帧,数据帧,0x08,62 A8 00 3D 80 3C D0 FF ,
225,接收,19:10:07.938.0,0x0000030a,标准帧,数据帧,0x04,63 3C 5A 3B ,
226,接收,19:10:07.940.0,0x00000400,标准帧,数据帧,0x08,07 00 0C 00 00 00 00 00 ,
227,接收,19:10:07.940.0,0x00000401,标准帧,数据帧,0x08,DB 78 00 00 00 00 00 00 ,
228,接收,19:10:08.011.0,0x00000301,标准帧,数据帧,0x08,6D 3C 43 3C 00 00 00 00 ,
229,接收,19:10:08.011.0,0x00000302,标准帧,数据帧,0x08,39 00 C4 09 A9 50 9D 39 ,
230,接收,19:10:08.019.0,0x00000303,标准帧,数据帧,0x04,B1 00 36 1E ,
231,接收,19:10:08.019.0,0x00000304,标准帧,数据帧,0x06,04 8C 03 10 00 00 ,
232,接收,19:10:08.028.0,0x00000309,标准帧,数据帧,0x08,62 A8 00 3D 80 3C D6 FF ,
233,接收,19:10:08.028.0,0x0000030a,标准帧,数据帧,0x04,63 3C 5A 3B ,
234,接收,19:10:08.039.0,0x00000400,标准帧,数据帧,0x08,07 00 0C 00 00 00 00 00 ,
235,接收,19:10:08.039.0,0x00000401,标准帧,数据帧,0x08,DB 78 00 00 00 00 00 00 ,
236,接收,19:10:08.116.0,0x00000301,标准帧,数据帧,0x08,6D 3C 45 3C 00 00 00 00 ,
237,接收,19:10:08.116.0,0x00000302,标准帧,数据帧,0x08,39 00 C4 09 A9 50 9D 39 ,
238,接收,19:10:08.120.0,0x00000303,标准帧,数据帧,0x04,B1 00 36 1E ,
239,接收,19:10:08.120.0,0x00000304,标准帧,数据帧,0x06,04 8C 03 10 00 00 ,
240,接收,19:10:08.138.0,0x00000309,标准帧,数据帧,0x08,62 A8 00 3D 7F 3C D2 FF ,
241,接收,19:10:08.138.0,0x0000030a,标准帧,数据帧,0x04,63 3C 5A 3B ,
242,接收,19:10:08.139.0,0x00000400,标准帧,数据帧,0x08,07 00 0C 00 00 00 00 00 ,
243,接收,19:10:08.139.0,0x00000401,标准帧,数据帧,0x08,DB 78 00 00 00 00 00 00 ,
244,接收,19:10:08.212.0,0x00000301,标准帧,数据帧,0x08,68 3C 4A 3C 00 00 00 00 ,
245,接收,19:10:08.212.0,0x00000302,标准帧,数据帧,0x08,39 00 C4 09 A9 50 9D 39 ,
246,接收,19:10:08.218.0,0x00000303,标准帧,数据帧,0x04,B1 00 34 1E ,
247,接收,19:10:08.218.0,0x00000304,标准帧,数据帧,0x06,04 8C 03 10 00 00 ,
248,接收,19:10:08.230.0,0x00000309,标准帧,数据帧,0x08,62 A8 00 3D 80 3C D8 FF ,
249,接收,19:10:08.230.0,0x0000030a,标准帧,数据帧,0x04,5E 3C 5A 3B ,
250,接收,19:10:08.239.0,0x00000400,标准帧,数据帧,0x08,07 00 0C 00 00 00 00 00 ,
251,接收,19:10:08.239.0,0x00000401,标准帧,数据帧,0x08,D1 78 00 00 00 00 00 00 ,
252,接收,19:10:08.313.0,0x00000301,标准帧,数据帧,0x08,68 3C 3E 3C 00 00 00 00 ,
253,接收,19:10:08.313.0,0x00000302,标准帧,数据帧,0x08,39 00 C4 09 A9 50 9D 39 ,
254,接收,19:10:08.318.0,0x00000303,标准帧,数据帧,0x04,B1 00 34 1E ,
255,接收,19:10:08.318.0,0x00000304,标准帧,数据帧,0x06,04 8C 03 10 00 00 ,
