Index,Direction,Time Stamp,Frame ID,Format,Type,Data Length,Data(HEX),Unnamed: 8
4406,Receive,19:10:50.029.0,0x00000309,Standard,Data,0x08,62 A8 00 3D 80 3C D2 FF ,
4407,Receive,19:10:50.029.0,0x0000030a,Standard,Data,0x04,5E 3C 64 3B ,
4408,Receive,19:10:50.038.0,0x00000400,Standard,Data,0x08,07 00 0C 00 00 00 00 00 ,
4409,Receive,19:10:50.038.0,0x00000401,Standard,Data,0x08,DB 78 00 00 00 00 00 00 ,
4410,Receive,19:10:50.116.0,0x00000301,Standard,Data,0x08,6D 3C 0D 3C 00 00 00 00 ,
4411,Receive,19:10:50.116.0,0x00000302,Standard,Data,0x08,39 00 C4 09 A9 50 9D 39 ,
4412,Receive,19:10:50.138.0,0x00000303,Standard,Data,0x04,B2 00 36 1E ,
4413,Receive,19:10:50.138.0,0x00000304,Standard,Data,0x06,04 8C 03 10 00 00 ,
4414,Receive,19:10:50.138.0,0x00000309,Standard,Data,0x08,62 A8 00 3D 82 3C D2 FF ,
4415,Receive,19:10:50.138.0,0x0000030a,Standard,Data,0x04,5E 3C 64 3B ,
4416,Receive,19:10:50.138.0,0x00000400,Standard,Data,0x08,07 00 0C 00 00 00 00 00 ,
4417,Receive,19:10:50.139.0,0x00000401,Standard,Data,0x08,D1 78 00 00 00 00 00 00 ,
4418,Receive,19:10:50.210.0,0x00000301,Standard,Data,0x08,68 3C 10 3C 00 00 00 00 ,
4419,Receive,19:10:50.210.0,0x00000302,Standard,Data,0x08,39 00 C4 09 A9 50 9D 39 ,
4420,Receive,19:10:50.217.0,0x00000303,Standard,Data,0x04,B1 00 34 1E ,
4421,Receive,19:10:50.217.0,0x00000304,Standard,Data,0x06,04 8C 03 10 00 00 ,
4422,Receive,19:10:50.228.0,0x00000309,Standard,Data,0x08,62 A8 00 3D 82 3C D8 FF ,
4423,Receive,19:10:50.228.0,0x0000030a,Standard,Data,0x04,5E 3C 69 3B ,
4424,Receive,19:10:50.238.0,0x00000400,Standard,Data,0x08,07 00 0C 00 00 00 00 00 ,
4425,Receive,19:10:50.238.0,0x00000401,Standard,Data,0x08,D1 78 00 00 00 00 00 00 ,
4426,Receive,19:10:50.315.0,0x00000301,Standard,Data,0x08,68 3C 13 3C 00 00 00 00 ,
4427,Receive,19:10:50.315.0,0x00000302,Standard,Data,0x08,39 00 C4 09 A9 50 9D 39 ,
4428,Receive,19:10:50.321.0,0x00000303,Standard,Data,0x04,B1 00 34 1E ,
4429,Receive,19:10:50.321.0,0x00000304,Standard,Data,0x06,04 8C 03 10 00 00 ,
4430,Receive,19:10:50.341.0,0x00000309,Standard,Data,0x08,62 A8 00 3D 7F 3C D4 FF ,
4431,Receive,19:10:50.341.0,0x0000030a,Standard,Data,0x04,5E 3C 69 3B ,
4432,Receive,19:10:50.341.0,0x00000400,Standard,Data,0x08,07 00 0C 00 00 00 00 00 ,
4433,Receive,19:10:50.341.0,0x00000401,Standard,Data,0x08,D1 78 00 00 00 00 00 00 ,
4434,Receive,19:10:50.410.0,0x00000301,Standard,Data,0x08,68 3C 1A 3C 00 00 00 00 ,
4435,Receive,19:10:50.410.0,0x00000302,Standard,Data,0x08,39 00 C4 09 A9 50 9D 39 ,
4436,Receive,19:10:50.417.0,0x00000303,Standard,Data,0x04,B1 00 34 1E ,
4437,Receive,19:10:50.417.0,0x00000304,Standard,Data,0x06,04 8C 03 10 00 00 ,
4438,Receive,19:10:50.428.0,0x00000309,Standard,Data,0x08,62 A8 00 3D 82 3C DA FF ,
4439,Receive,19:10:50.428.0,0x0000030a,Standard,Data,0x04,5E 3C 64 3B ,
4440,Receive,19:10:50.437.0,0x00000400,Standard,Data,0x08,07 00 0C 00 00 00 00 00 ,
4441,Receive,19:10:50.437.0,0x00000401,Standard,Data,0x08,D1 78 00 00 00 00 00 00 ,
4442,Receive,19:10:50.516.0,0x00000301,Standard,Data,0x08,68 3C 16 3C 00 00 00 00 ,
4443,Receive,19:10:50.516.0,0x00000302,Standard,Data,0x08,39 00 C4 09 A9 50 9D 39 ,
4444,Receive,19:10:50.535.0,0x00000303,Standard,Data,0x04,B1 00 34 1E ,
4445,Receive,19:10:50.535.0,0x00000304,Standard,Data,0x06,04 8C 03 10 00 00 ,
4446,Receive,19:10:50.540.0,0x00000309,Standard,Data,0x08,62 A8 00 3D 82 3C D2 FF ,
4447,Receive,19:10:50.540.0,0x0000030a,Standard,Data,0x04,5E 3C 64 3B ,
