序号,传输方向,时间标识,帧ID,帧格式,帧类型,数据长度,数据(HEX)
188,接收,15:16:37.809.0,0x00000303,数据帧,标准帧,0x04,20 1c 2d 23 
189,接收,15:16:37.809.0,0x00000304,数据帧,标准帧,0x06,01 8c 00 20 00 00 
190,接收,15:16:37.809.0,0x00000309,数据帧,标准帧,0x08,63 a7 00 46 82 3c c8 ff 
191,接收,15:16:37.809.0,0x0000030a,数据帧,标准帧,0x04,36 00 36 00 
192,接收,15:16:37.809.0,0x00000400,数据帧,标准帧,0x08,01 00 00 00 00 00 00 00 
193,接收,15:16:37.809.0,0x00000401,数据帧,标准帧,0x08,b4 8c 00 00 00 00 00 00 
194,接收,15:16:37.881.0,0x00000301,数据帧,标准帧,0x08,5a 46 5b 00 00 00 00 00 
195,接收,15:16:37.881.0,0x00000302,数据帧,标准帧,0x08,ce 07 c4 09 a9 50 9d 39 
196,接收,15:16:37.890.0,0x00000303,数据帧,标准帧,0x04,20 1c 2d 23 
197,接收,15:16:37.890.0,0x00000304,数据帧,标准帧,0x06,01 8c 00 20 00 00 
198,接收,15:16:37.901.0,0x00000309,数据帧,标准帧,0x08,63 a7 00 46 82 3c ca ff 
199,接收,15:16:37.901.0,0x0000030a,数据帧,标准帧,0x04,36 00 36 00 
200,接收,15:16:37.910.0,0x00000400,数据帧,标准帧,0x08,01 00 00 00 00 00 00 00 
201,接收,15:16:37.910.0,0x00000401,数据帧,标准帧,0x08,b4 8c 00 00 00 00 00 00 
202,接收,15:16:37.982.0,0x00000301,数据帧,标准帧,0x08,5a 46 5e 00 00 00 00 00 
203,接收,15:16:37.982.0,0x00000302,数据帧,标准帧,0x08,ce 07 c4 09 a9 50 9d 39 
204,接收,15:16:38.009.0,0x00000303,数据帧,标准帧,0x04,20 1c 2d 23 
205,接收,15:16:38.009.0,0x00000304,数据帧,标准帧,0x06,01 8c 00 20 00 00 
206,接收,15:16:38.009.0,0x00000309,数据帧,标准帧,0x08,63 a7 00 46 83 3c ca ff 
207,接收,15:16:38.009.0,0x0000030a,数据帧,标准帧,0x04,36 00 36 00 
208,接收,15:16:38.009.0,0x00000400,数据帧,标准帧,0x08,01 00 00 00 00 00 00 00 
209,接收,15:16:38.009.0,0x00000401,数据帧,标准帧,0x08,b4 8c 00 00 00 00 00 00 
210,接收,15:16:38.081.0,0x00000301,数据帧,标准帧,0x08,5a 46 5c 00 00 00 00 00 
211,接收,15:16:38.081.0,0x00000302,数据帧,标准帧,0x08,ce 07 c4 09 a9 50 9d 39 
212,接收,15:16:38.090.0,0x00000303,数据帧,标准帧,0x04,20 1c 2d 23 
213,接收,15:16:38.090.0,0x00000304,数据帧,标准帧,0x06,01 8c 00 20 00 00 
214,接收,15:16:38.099.0,0x00000309,数据帧,标准帧,0x08,63 a7 00 46 82 3c ce ff 
215,接收,15:16:38.099.0,0x0000030a,数据帧,标准帧,0x04,36 00 36 00 
216,接收,15:16:38.110.0,0x00000400,数据帧,标准帧,0x08,01 00 00 00 00 00 00 00 
217,接收,15:16:38.110.0,0x00000401,数据帧,标准帧,0x08,b4 8c 00 00 00 00 00 00 
218,接收,15:16:38.182.0,0x00000301,数据帧,标准帧,0x08,5a 46 5e 00 00 00 00 00 
219,接收,15:16:38.182.0,0x00000302,数据帧,标准帧,0x08,ce 07 c4 09 a9 50 9d 39 
220,接收,15:16:38.210.0,0x00000303,数据帧,标准帧,0x04,20 1c 2d 23 
221,接收,15:16:38.210.0,0x00000304,数据帧,标准帧,0x06,01 8c 00 20 00 00 
222,接收,15:16:38.210.0,0x00000309,数据帧,标准帧,0x08,63 a7 00 46 82 3c c6 ff 
223,接收,15:16:38.210.0,0x0000030a,数据帧,标准帧,0x04,36 00 36 00 
224,接收,15:16:38.210.0,0x00000400,数据帧,标准帧,0x08,01 00 00 00 00 00 00 00 
225,接收,15:16:38.210.0,0x00000401,数据帧,标准帧,0x08,b4 8c 00 00 00 00 00 00 
226,接收,15:16:38.280.0,0x00000301,数据帧,标准帧,0x08,5a 46 59 00 00 00 00 00 
227,接收,15:16:38.280.0,0x00000302,数据帧,标准帧,0x08,ce 07 c4 09 a9 50 9d 39 
228,接收,15:16:38.291.0,0x00000303,数据帧,标准帧,0x04,20 1c 2d 23 
229,接收,15:16:38.291.0,0x00000304,数据帧,标准帧,0x06,01 8c 00 20 00 00 
230,接收,15:16:38.301.0,0x00000309,数据帧,标准帧,0x08,63 a7 00 46 82 3c cc ff 
231,接收,15:16:38.301.0,0x0000030a,数据帧,标准帧,0x04,36 00 36 00 
232,接收,15:16:38.310.0,0x00000400,数据帧,标准帧,0x08,01 00 00 00 00 00 00 00 
233,接收,15:16:38.310.0,0x00000401,数据帧,标准帧,0x08,b4 8c 00 00 00 00 00 00 
234,接收,15:16:38.382.0,0x00000301,数据帧,标准帧,0x08,5a 46 5c 00 00 00 00 00 
235,接收,15:16:38.382.0,0x00000302,数据帧,标准帧,0x08,ce 07 c4 09 a9 50 9d 39 
236,接收,15:16:38.409.0,0x00000303,数据帧,标准帧,0x04,20 1c 2d 23 
237,接收,15:16:38.409.0,0x00000304,数据帧,标准帧,0x06,01 8c 00 20 00 00 
238,接收,15:16:38.409.0,0x00000309,数据帧,标准帧,0x08,63 a7 00 46 82 3c cc ff 
239,接收,15:16:38.409.0,0x0000030a,数据帧,标准帧,0x04,36 00 36 00 
240,接收,15:16:38.409.0,0x00000400,数据帧,标准帧,0x08,01 00 00 00 00 00 00 00 
241,接收,15:16:38.409.0,0x00000401,数据帧,标准帧,0x08,b4 8c 00 00 00 00 00 00 
242,接收,15:16:38.482.0,0x00000604,数据帧,标准帧,0x08,00 00 00 00 00 00 00 00 
243,接收,15:16:38.482.0,0x00000605,数据帧,标准帧,0x08,00 00 00 00 00 00 00 00 
244,接收,15:16:38.482.0,0x00000606,数据帧,标准帧,0x08,00 00 00 00 00 00 00 00 
245,接收,15:16:38.482.0,0x00000301,数据帧,标准帧,0x08,5a 46 5e 00 00 00 00 00 
246,接收,15:16:38.482.0,0x00000302,数据帧,标准帧,0x08,ce 07 c4 09 a9 50 9d 39 
247,接收,15:16:38.482.0,0x00000402,数据帧,标准帧,0x08,27 00 00 00 4b b0 02 00 
248,接收,15:16:38.482.0,0x00000403,数据帧,标准帧,0x08,64 00 00 00 b3 e0 06 00 
249,接收,15:16:38.482.0,0x00000508,数据帧,标准帧,0x08,6f 30 6f 30 ef 12 00 00 
250,接收,15:16:38.482.0,0x0000050b,数据帧,标准帧,0x08,6f 30 6f 30 11 4e 4e 11 
251,接收,15:16:38.493.0,0x00000303,数据帧,标准帧,0x04,20 1c 2d 23 
252,接收,15:16:38.493.0,0x00000304,数据帧,标准帧,0x06,01 8c 00 20 00 00 
253,接收,15:16:38.493.0,0x00000405,数据帧,标准帧,0x08,11 0e 11 0e 11 0e 0f 0e 
254,接收,15:16:38.493.0,0x00000406,数据帧,标准帧,0x08,11 0e 11 0e 11 0e 11 0e 
255,接收,15:16:38.493.0,0x0000050d,数据帧,标准帧,0x08,02 01 00 00 00 00 00 00 
256,接收,15:16:38.493.0,0x0000050d,数据帧,标准帧,0x08,03 38 00 00 00 00 00 00 
257,接收,15:16:38.501.0,0x00000309,数据帧,标准帧,0x08,63 a7 00 46 82 3c d0 ff 
258,接收,15:16:38.501.0,0x0000030a,数据帧,标准帧,0x04,36 00 36 00 
259,接收,15:16:38.501.0,0x00000407,数据帧,标准帧,0x04,11 0e 11 0e 
260,接收,15:16:38.501.0,0x00000408,数据帧,标准帧,0x04,3c 00 00 00 
261,接收,15:16:38.501.0,0x0000050d,数据帧,标准帧,0x08,04 00 00 00 00 00 00 00 
262,接收,15:16:38.501.0,0x0000050d,数据帧,标准帧,0x08,05 04 c2 00 00 00 00 00 
263,接收,15:16:38.512.0,0x00000400,数据帧,标准帧,0x08,01 00 00 00 00 00 00 00 
264,接收,15:16:38.512.0,0x00000401,数据帧,标准帧,0x08,b4 8c 00 00 00 00 00 00 
265,接收,15:16:38.512.0,0x00000409,数据帧,标准帧,0x08,e4 e4 e6 d7 e5 e9 e5 e6 
266,接收,15:16:38.512.0,0x00000506,数据帧,标准帧,0x07,0f 0e 11 0e 94 e4 e6 
267,接收,15:16:38.512.0,0x0000050d,数据帧,标准帧,0x08,06 00 00 00 00 00 00 00 
