Index,Direction,Time Stamp,Frame ID,Format,Type,Data Length,Data(HEX),Unnamed: 8
224,Receive,19:08:01.722.0,0x00000303,Standard,Data,0x04,B1 00 34 1E ,
225,Receive,19:08:01.722.0,0x00000304,Standard,Data,0x06,04 8C 03 10 00 00 ,
226,Receive,19:08:01.743.0,0x00000309,Standard,Data,0x08,62 A8 00 3D 81 3C D2 FF ,
227,Receive,19:08:01.743.0,0x0000030a,Standard,Data,0x04,5E 3C 5F 3B ,
228,Receive,19:08:01.743.0,0x00000400,Standard,Data,0x08,07 00 0C 00 00 00 00 00 ,
229,Receive,19:08:01.743.0,0x00000401,Standard,Data,0x08,D1 78 00 00 00 00 00 00 ,
230,Receive,19:08:01.815.0,0x00000604,Standard,Data,0x08,00 00 00 00 00 00 00 00 ,
231,Receive,19:08:01.815.0,0x00000605,Standard,Data,0x08,00 00 00 00 01 00 00 00 ,
232,Receive,19:08:01.815.0,0x00000606,Standard,Data,0x08,00 00 00 00 00 00 00 00 ,
233,Receive,19:08:01.815.0,0x00000301,Standard,Data,0x08,72 3C 42 3C 00 00 00 00 ,
234,Receive,19:08:01.815.0,0x00000302,Standard,Data,0x08,39 00 C4 09 A9 50 9D 39 ,
235,Receive,19:08:01.815.0,0x00000402,Standard,Data,0x08,01 00 00 00 F8 25 00 00 ,
236,Receive,19:08:01.815.0,0x00000403,Standard,Data,0x08,64 00 00 00 E3 C3 07 00 ,
237,Receive,19:08:01.821.0,0x00000303,Standard,Data,0x04,B1 00 39 1E ,
238,Receive,19:08:01.821.0,0x00000304,Standard,Data,0x06,04 8C 03 10 00 00 ,
239,Receive,19:08:01.823.0,0x00000405,Standard,Data,0x08,10 0C 10 0C 13 0C 16 0C ,
240,Receive,19:08:01.823.0,0x00000406,Standard,Data,0x08,07 0C 1B 0C 17 0C 14 0C ,
241,Receive,19:08:01.831.0,0x00000309,Standard,Data,0x08,62 A8 00 3D 7F 3C D4 FF ,
242,Receive,19:08:01.831.0,0x0000030a,Standard,Data,0x04,63 3C 5A 3B ,
243,Receive,19:08:01.831.0,0x00000407,Standard,Data,0x04,17 0C 1D 0C ,
244,Receive,19:08:01.831.0,0x00000408,Standard,Data,0x04,EE 08 00 00 ,
245,Receive,19:08:01.840.0,0x00000400,Standard,Data,0x08,07 00 0C 00 00 00 00 00 ,
246,Receive,19:08:01.840.0,0x00000401,Standard,Data,0x08,E5 78 00 00 00 00 00 00 ,
247,Receive,19:08:01.841.0,0x00000409,Standard,Data,0x08,E5 E4 E5 D7 E5 E5 E5 E5 ,
248,Receive,19:08:01.841.0,0x00000506,Standard,Data,0x07,07 0C 1D 0C A5 E4 E5 ,
249,Receive,19:08:01.852.0,0x00000509,Standard,Data,0x03,3F 81 01 ,
250,Receive,19:08:01.852.0,0x0000050a,Standard,Data,0x03,E6 E6 E5 ,
251,Receive,19:08:01.861.0,0x0000050d,Standard,Data,0x08,00 00 00 00 00 00 00 00 ,
252,Receive,19:08:01.861.0,0x0000050d,Standard,Data,0x08,01 BB 03 00 00 00 00 00 ,
253,Receive,19:08:01.917.0,0x00000301,Standard,Data,0x08,72 3C 45 3C 00 00 00 00 ,
254,Receive,19:08:01.918.0,0x00000302,Standard,Data,0x08,39 00 C4 09 A9 50 9D 39 ,
255,Receive,19:08:01.921.0,0x00000303,Standard,Data,0x04,B1 00 39 1E ,
256,Receive,19:08:01.921.0,0x00000304,Standard,Data,0x06,04 8C 03 10 00 00 ,
257,Receive,19:08:01.944.0,0x00000309,Standard,Data,0x08,62 A8 00 3D 81 3C D6 FF ,
258,Receive,19:08:01.944.0,0x0000030a,Standard,Data,0x04,63 3C 5A 3B ,
259,Receive,19:08:01.944.0,0x00000400,Standard,Data,0x08,07 00 0C 00 00 00 00 00 ,
